park_name,scientific_name,category,common_names,conservation_status,observations
Bryce,Abies bifolia,Vascular Plant,Rocky Mountain Alpine Fir,Least concern,109
Bryce,Abies concolor,Vascular Plant,Balsam Fir,Least concern,83
Bryce,Abies fraseri,Vascular Plant,Fraser Fir,Species of Concern,109
Bryce,Abietinella abietina,Nonvascular Plant,Abietinella Moss,Least concern,101
Bryce,Abronia ammophila,Vascular Plant,Wyoming Sand Verbena,Species of Concern,92
Bryce,Abutilon theophrasti,Vascular Plant,Velvetleaf,Least concern,84
Bryce,Acalypha gracilens,Vascular Plant,Narrow-Leaved Three-Seeded Mercury,Least concern,68
Bryce,Acalypha ostryifolia,Vascular Plant,Hornbeam Copper-Leaf,Least concern,95
Bryce,Acalypha rhomboidea,Vascular Plant,Common Threeseed Mercury,Least concern,90
Bryce,Acalypha virginica,Vascular Plant,Virginia Copperleaf,Least concern,108
Bryce,Acanthus flammea,Bird,Common Redpoll,Least concern,95
Bryce,Accipiter cooperii,Bird,Cooper's Hawk,Species of Concern,95
Bryce,Accipiter gentilis,Bird,Northern Goshawk,Least concern,109
Bryce,Accipiter striatus,Bird,Sharp-Shinned Hawk,Species of Concern,62
Bryce,Acer glabrum,Vascular Plant,Rocky Mountain Maple,Least concern,30
Bryce,Acer glabrum var. torreyi,Vascular Plant,Torrey's Maple,Least concern,84
Bryce,Acer leucoderme,Vascular Plant,Chalk Maple,Least concern,125
Bryce,Acer macrophyllum,Vascular Plant,Bigleaf Maple,Least concern,105
Bryce,Acer negundo,Vascular Plant,Boxelder,Least concern,92
Bryce,Acer negundo var. violaceum,Vascular Plant,Boxelder,Least concern,91
Bryce,Acer nigrum,Vascular Plant,Black Maple,Least concern,110
Bryce,Acer pensylvanicum,Vascular Plant,Striped Maple,Least concern,91
Bryce,Acer platanoides,Vascular Plant,Norway Maple,Least concern,83
Bryce,Acer rubrum var. rubrum,Vascular Plant,Red Maple,Least concern,114
Bryce,Acer rubrum var. trilobum,Vascular Plant,Trident Maple,Least concern,99
Bryce,Acer saccharinum,Vascular Plant,Silver Maple,Least concern,121
Bryce,Acer saccharum,Vascular Plant,Sugar Maple,Least concern,124
Bryce,Acer spicatum,Vascular Plant,Mountain Maple,Least concern,89
Bryce,Achillea millefolium,Vascular Plant,Bloodwort,Least concern,99
Bryce,Achillea millefolium var. occidentalis,Vascular Plant,Yarrow,Least concern,119
Bryce,Achnatherum X bloomeri,Vascular Plant,Achnatherum,Least concern,91
Bryce,Achnatherum contractum,Vascular Plant,Contracted Ricegrass,Species of Concern,122
Bryce,Achnatherum hymenoides,Vascular Plant,Indian Ricegrass,Least concern,90
Bryce,Achnatherum latiglume,Vascular Plant,Sierra Needlegrass,Least concern,92
Bryce,Achnatherum lemmonii,Vascular Plant,Lemmon's Needlegrass,Least concern,87
Bryce,Achnatherum lettermanii,Vascular Plant,Letterman Needlegrass,Least concern,63
Bryce,Achnatherum nelsonii ssp. dorei,Vascular Plant,Columbia Needlegrass,Least concern,101
Bryce,Achnatherum nevadense,Vascular Plant,Nevada Needlegrass,Least concern,74
Bryce,Achnatherum occidentale,Vascular Plant,Western Needlegrass,Least concern,106
Bryce,Achnatherum occidentale ssp. californicum,Vascular Plant,California Needlegrass,Least concern,77
Bryce,Achnatherum occidentale ssp. occidentale,Vascular Plant,Western Needle Grass,Least concern,122
Bryce,Achnatherum occidentale ssp. pubescens,Vascular Plant,Elmer's Needlegrass,Least concern,58
Bryce,Achnatherum pinetorum,Vascular Plant,Pine Needlegrass,Least concern,101
Bryce,Achnatherum richardsonii,Vascular Plant,Richardson Needlegrass,Least concern,76
Bryce,Achnatherum thurberianum,Vascular Plant,Thurber's Needlegrass,Least concern,71
Bryce,Aconitum columbianum,Vascular Plant,Columbian Monkshood,Least concern,63
Bryce,Aconitum columbianum ssp. columbianum,Vascular Plant,Columbian Monkshood,Least concern,112
Bryce,Aconitum uncinatum,Vascular Plant,Monk's Hood,Least concern,115
Bryce,Acorus calamus,Vascular Plant,Sweetflag,Least concern,121
Bryce,Acris crepitans crepitans,Amphibian,Northern Cricket Frog,Least concern,112
Bryce,Acrobolbus ciliatus,Nonvascular Plant,Acrobolbus,Least concern,114
Bryce,Actaea pachypoda,Vascular Plant,White Baneberry,Least concern,92
Bryce,Actaea rubra,Vascular Plant,Red Baneberry,Least concern,141
Bryce,Actitis macularia,Bird,Spotted Sandpiper,Least concern,91
Bryce,Actitis macularius,Bird,Spotted Sandpiper,Least concern,86
Bryce,Adenocaulon bicolor,Vascular Plant,American Trailplant,Least concern,123
Bryce,Adenostoma fasciculatum,Vascular Plant,Chamise,Least concern,128
Bryce,Adiantum aleuticum,Vascular Plant,Aleutian Maidenhair,Least concern,114
Bryce,Adiantum jordanii,Vascular Plant,California Maidenhair,Least concern,93
Bryce,Adiantum pedatum,Vascular Plant,Northern Maiden-Hair Fern,Least concern,94
Bryce,Adlumia fungosa,Vascular Plant,Climbing Fumitory,Least concern,69
Bryce,Adoxa moschatellina,Vascular Plant,Muskroot,Least concern,121
Bryce,Aechmophorus clarkii,Bird,Clark's Grebe,Least concern,99
Bryce,Aechmophorus occidentalis,Bird,Western Grebe,Species of Concern,80
Bryce,Aegilops cylindrica,Vascular Plant,Jointed Goatgrass,Least concern,76
Bryce,Aegolius,Bird,Saw-Whet Owls,Least concern,95
Bryce,Aegolius acadicus,Bird,Northern Saw-Whet Owl,Least concern,131
Bryce,Aegolius funereus,Bird,Boreal Owl,Least concern,73
Bryce,Aegopodium podagraria,Vascular Plant,Bishops Goutweed,Least concern,112
Bryce,Aeronautes saxatalis,Bird,White-Throated Swift,Least concern,95
Bryce,Aesculus californica,Vascular Plant,California Buckeye,Least concern,108
Bryce,Aesculus flava,Vascular Plant,Yellow Buckeye,Least concern,117
Bryce,Aesculus glabra,Vascular Plant,Ohio Buckeye,Least concern,76
Bryce,Aesculus pavia,Vascular Plant,Red Buckeye,Least concern,133
Bryce,Aesculus sylvatica,Vascular Plant,Painted Buckeye,Least concern,100
Bryce,Agalinis purpurea,Vascular Plant,Large-Purple False-Foxglove,Least concern,91
Bryce,Agalinis setacea,Vascular Plant,Narrow-Leaved Gerardia,Least concern,116
Bryce,Agalinis tenuifolia,Vascular Plant,Slender False-Foxglove,Least concern,73
Bryce,Agastache nepetoides,Vascular Plant,Giant Hyssop,Least concern,106
Bryce,Agastache scrophulariifolia,Vascular Plant,Giant Hyssop,Least concern,116
Bryce,Agastache urticifolia,Vascular Plant,Horsemint Giant Hyssop,Least concern,95
Bryce,Agelaius phoeniceus,Bird,Red-Winged Blackbird,Least concern,97
